Episode,Agent_J1,Agent_J2,Agent_J5,Agent_J7
84,-1268.9066666666665,-1414.1566666666665,-1142.37,-1367.1266666666666
85,-1102.5366666666666,-1218.5233333333333,-1215.81,-1267.3
86,-1330.3033333333333,-1458.4033333333332,-994.5066666666667,-1676.52
87,-1404.99,-1235.5433333333333,-1008.7433333333333,-1415.3166666666666
88,-1081.7966666666666,-1125.7066666666667,-1766.7066666666667,-1649.0533333333333
89,-1269.44,-1132.4566666666667,-1506.4233333333332,-1491.0366666666666
90,-1238.9199999999998,-1582.5866666666666,-1847.8466666666666,-1493.6333333333332
91,-1185.95,-1420.4233333333332,-1821.48,-1622.0466666666666
92,-1157.9566666666667,-1143.7233333333334,-970.4633333333333,-1306.03
93,-1194.9366666666667,-1069.8766666666666,-1536.7833333333333,-1336.12
94,-1291.5466666666666,-1258.04,-1161.9866666666667,-1593.4099999999999
95,-1153.2433333333333,-1277.6166666666666,-1252.4366666666667,-1480.84
96,-1270.3666666666666,-1225.34,-1156.6933333333334,-1266.6066666666666
97,-1400.0633333333333,-1241.5166666666667,-1355.6599999999999,-1517.9366666666667
98,-1338.4733333333334,-1004.55,-1071.4366666666667,-1102.86
99,-1218.4133333333332,-1285.72,-1470.1433333333332,-1520.5833333333333
100,-1257.8533333333332,-1177.4533333333334,-1128.3233333333333,-1170.1533333333332
101,-1452.48,-1246.4099999999999,-1258.8833333333332,-1378.83
102,-1147.6866666666667,-1301.8533333333332,-1457.5833333333333,-1567.6266666666666
103,-1349.6766666666667,-1347.7966666666666,-1745.85,-1212.4266666666665
104,-1548.3366666666666,-1276.98,-1172.49,-1057.7966666666666
105,-1304.6599999999999,-1281.3,-1257.4866666666667,-1470.1599999999999
106,-1195.5933333333332,-1168.53,-1364.2833333333333,-1657.0633333333333
107,-1270.72,-1307.8866666666665,-1502.9499999999998,-1314.5366666666666
108,-978.93,-1117.6666666666667,-1211.9566666666667,-1065.81
109,-1338.7366666666667,-1238.7766666666666,-1381.25,-1290.18
110,-1130.5866666666666,-1081.2933333333333,-1322.1366666666665,-1493.3899999999999
111,-1202.7033333333334,-1576.6133333333332,-1353.3633333333332,-1190.1866666666665
112,-1205.4066666666665,-1163.82,-1346.6966666666667,-1219.4666666666667
113,-1077.5866666666666,-1509.4666666666667,-1161.53,-1151.22
114,-1211.6399999999999,-1488.6333333333332,-1439.9666666666667,-985.8366666666666
115,-958.2433333333333,-1229.6333333333332,-1321.3833333333332,-1425.1133333333332
116,-1414.5366666666666,-979.87,-1320.1533333333332,-1126.5266666666666
117,-1305.7033333333334,-1117.4299999999998,-1434.05,-1237.8866666666665
118,-1073.6399999999999,-1464.9866666666667,-1269.8266666666666,-1399.6833333333334
119,-1132.82,-1264.5766666666666,-1313.6366666666665,-1277.8466666666666
120,-1195.0833333333333,-908.9033333333333,-868.87,-1169.4733333333334
121,-1196.7733333333333,-1091.0333333333333,-1048.94,-1341.9099999999999
122,-1260.5833333333333,-1244.6533333333332,-1363.1499999999999,-1325.1133333333332
123,-1076.8233333333333,-1140.6333333333332,-1522.72,-991.8266666666666
124,-1228.2233333333334,-1024.6033333333332,-1315.1466666666665,-1265.9666666666667
125,-1224.1499999999999,-1341.04,-1145.1066666666666,-1289.1566666666665
126,-1275.9366666666667,-1117.0933333333332,-1399.5233333333333,-1388.93
127,-1336.3233333333333,-1292.4166666666665,-1209.0933333333332,-1454.75
128,-1157.98,-1306.5933333333332,-1209.5233333333333,-1191.9466666666667
129,-987.0833333333333,-1196.95,-1301.3733333333332,-1100.31
130,-1408.7166666666667,-1016.79,-1339.49,-998.5466666666666
131,-1293.2366666666667,-1236.29,-1331.6,-1061.78
132,-1085.5966666666666,-1323.1,-1269.8633333333332,-1326.9833333333333
133,-1252.6466666666665,-1272.2066666666667,-1175.3766666666666,-1314.3866666666665
134,-1311.1766666666665,-1204.09,-969.0566666666666,-1380.9733333333334
135,-1107.96,-1197.9066666666665,-1354.8933333333332,-1118.8133333333333
136,-1145.9099999999999,-1255.3166666666666,-1270.96,-1339.2766666666666
137,-1484.1033333333332,-1275.9166666666665,-1112.5433333333333,-1166.4366666666665
138,-1361.2733333333333,-1339.3166666666666,-1191.6,-1224.31
139,-1205.9866666666667,-1191.4666666666667,-901.7433333333333,-1281.82
140,-1564.9966666666667,-1153.4566666666667,-1252.7,-1189.8033333333333
141,-1170.34,-1622.1799999999998,-1311.29,-1158.3133333333333
142,-1088.7266666666667,-985.7766666666666,-1074.85,-1444.5966666666666
143,-1112.9633333333334,-1195.3799999999999,-1239.94,-1146.4266666666667
144,-1283.1033333333332,-1245.28,-969.42,-992.14
145,-1099.7066666666667,-1234.06,-1069.4133333333334,-1542.7366666666667
146,-1324.59,-1583.8899999999999,-1048.3,-1149.5066666666667
147,-1235.84,-1241.6566666666665,-1007.1,-1367.51
148,-1363.7666666666667,-1013.4233333333333,-1191.1599999999999,-1242.05
149,-1109.6599999999999,-1311.0133333333333,-1350.2833333333333,-987.6633333333333
150,-1249.3166666666666,-920.9866666666667,-1028.8799999999999,-1039.5033333333333
151,-1423.0833333333333,-1097.1066666666666,-1172.4166666666665,-1401.1666666666665
152,-1504.73,-1120.9266666666665,-1276.5433333333333,-1061.9633333333334
153,-1424.4199999999998,-1169.4733333333334,-1183.22,-973.1766666666666
154,-970.76,-1108.0433333333333,-988.92,-1166.99
155,-1077.4233333333332,-1746.4866666666667,-1000.43,-1300.77
156,-1330.5466666666666,-1259.3899999999999,-1032.37,-1248.58
157,-1156.5633333333333,-1106.8999999999999,-1530.3899999999999,-1080.35
158,-1190.8,-1288.4433333333334,-1281.2433333333333,-1013.97
159,-1168.4533333333334,-1141.2433333333333,-1377.5366666666666,-1082.8333333333333
160,-1378.0433333333333,-1073.6433333333332,-1406.3066666666666,-1175.74
161,-1472.6933333333334,-1126.3433333333332,-1388.6033333333332,-1261.1433333333332
162,-1560.03,-1208.7233333333334,-1220.9566666666667,-1212.28
163,-1288.4533333333334,-1174.34,-1287.1033333333332,-1011.4533333333333
164,-1169.4766666666667,-1775.7033333333331,-1371.98,-1153.3766666666666
165,-1216.4966666666667,-1239.19,-1106.4666666666667,-1118.6366666666665
166,-1255.5733333333333,-1052.3866666666665,-1094.9366666666667,-1430.96
167,-1188.29,-1309.3766666666666,-1234.1666666666665,-961.5
168,-1227.49,-1227.9199999999998,-1480.7366666666667,-1000.9
169,-1139.5766666666666,-1380.0233333333333,-1148.35,-1189.0133333333333
170,-1071.8,-1262.55,-1139.2266666666667,-1225.6966666666667
171,-954.8466666666666,-1408.2133333333334,-932.9399999999999,-1121.1433333333332
172,-973.2966666666666,-1288.2866666666666,-994.55,-1583.9099999999999
173,-1038.23,-1374.3566666666666,-1233.4266666666667,-1120.8833333333332
174,-1169.4333333333334,-1382.4099999999999,-1110.5966666666666,-982.6266666666667
175,-937.6999999999999,-1294.3133333333333,-1449.1766666666667,-993.5966666666667
176,-1318.4233333333334,-1118.7433333333333,-929.06,-1250.86
177,-1357.5966666666666,-1284.3066666666666,-908.9666666666666,-1210.9099999999999
178,-1363.2433333333333,-1144.0566666666666,-1130.5966666666666,-821.0133333333333
179,-1109.47,-1203.5266666666666,-975.5066666666667,-1461.9933333333333
180,-1473.3833333333332,-853.5666666666666,-1290.1366666666665,-1057.2466666666667
181,-1471.2,-1072.9433333333334,-941.5533333333333,-1495.8799999999999
182,-1183.1933333333334,-1231.6299999999999,-1381.77,-1064.67
183,-1301.3533333333332,-1215.1599999999999,-1215.5333333333333,-933.3033333333333
184,-985.6066666666667,-1288.3366666666666,-1211.5333333333333,-1588.5533333333333
185,-1230.6633333333332,-1505.5833333333333,-1065.43,-1009.7866666666666
186,-1029.0566666666666,-1222.2866666666666,-1006.8633333333333,-1264.7333333333333
187,-1150.26,-887.5266666666666,-1161.05,-1144.7933333333333
188,-1090.5866666666666,-1172.8,-1113.9433333333334,-1253.1599999999999
189,-1433.07,-1114.0733333333333,-1220.37,-1232.5533333333333
190,-1101.1866666666667,-1114.3333333333333,-1228.6033333333332,-1180.1733333333334
191,-1590.35,-1072.4733333333334,-1124.7166666666667,-1210.7166666666667
192,-1145.25,-1147.7366666666667,-1265.52,-1008.4366666666666
193,-1218.5866666666666,-1204.2066666666667,-1265.4099999999999,-1098.2466666666667
194,-1305.2166666666667,-1199.2033333333334,-1055.46,-1105.92
195,-1371.9299999999998,-1020.39,-999.3499999999999,-1136.6499999999999
196,-1103.9766666666667,-1428.9966666666667,-1057.3466666666666,-1127.0133333333333
197,-1536.76,-825.9499999999999,-1109.0366666666666,-1075.79
198,-1123.34,-1191.0733333333333,-1066.7333333333333,-1060.8133333333333
199,-1042.9766666666667,-1278.01,-1210.0866666666666,-1313.9666666666667
200,-1171.4666666666667,-1074.9366666666667,-1404.32,-1204.37
201,-1586.3866666666665,-1390.24,-1403.45,-1150.6966666666667
202,-1138.7966666666666,-1135.53,-1280.9166666666665,-1131.9099999999999
203,-1319.0733333333333,-1269.6666666666665,-1019.6033333333334,-1289.9166666666665
204,-983.5699999999999,-1141.72,-1209.7266666666667,-1220.4266666666667
205,-999.0899999999999,-1196.68,-1121.25,-1061.46
206,-1006.1733333333333,-1573.7833333333333,-930.5766666666666,-1028.2833333333333
207,-1649.5866666666666,-1075.3,-1197.54,-1481.1299999999999
208,-1254.4733333333334,-1135.5666666666666,-1150.8966666666665,-1121.8533333333332
209,-1182.1766666666665,-1011.3033333333333,-1054.9066666666665,-1320.28
210,-1347.2766666666666,-1142.6066666666666,-1111.6466666666665,-1248.8
211,-1296.3799999999999,-1081.3966666666665,-1368.4733333333334,-1231.46
212,-948.5866666666666,-1480.8666666666666,-1200.5633333333333,-1272.5966666666666
213,-1446.0033333333333,-973.3766666666667,-1049.6166666666666,-1103.85
214,-1023.4266666666666,-1326.7866666666666,-1196.8533333333332,-1111.1266666666666
215,-1357.0233333333333,-1241.0933333333332,-1004.78,-971.77
216,-1387.1,-1346.7733333333333,-1074.9066666666665,-1167.72
217,-1373.1399999999999,-1258.04,-976.4933333333333,-939.43
218,-1121.6599999999999,-1469.7266666666667,-1127.8633333333332,-1086.94
219,-1192.21,-1180.0466666666666,-1393.4466666666667,-1097.48
220,-1417.1299999999999,-1030.3899999999999,-1024.4366666666667,-1244.8733333333332
221,-1279.7,-1221.21,-1083.5033333333333,-1073.9833333333333
222,-1488.27,-1029.8066666666666,-1312.1699999999998,-1046.3166666666666
223,-1259.8366666666666,-1021.2733333333333,-1038.77,-1303.03
224,-1256.53,-876.5699999999999,-920.36,-1074.4433333333334
225,-1258.5433333333333,-1344.7,-1092.8366666666666,-1133.2733333333333
226,-1378.0566666666666,-1247.74,-1212.0366666666666,-1348.7733333333333
227,-1231.34,-1273.09,-1118.1133333333332,-1397.46
228,-1048.25,-897.8066666666666,-1052.8166666666666,-1189.4633333333334
229,-1147.12,-1407.6933333333334,-1003.5,-1139.37
230,-1045.6233333333332,-1188.0633333333333,-1338.3,-1603.4766666666667
231,-1167.6333333333332,-1166.9233333333332,-1171.8,-1254.47
232,-1000.8399999999999,-1295.6333333333332,-1201.7533333333333,-1571.6866666666665
233,-1155.9733333333334,-1218.3733333333332,-1332.5166666666667,-1072.55
234,-1214.9366666666667,-1080.4866666666667,-1039.0466666666666,-1186.6233333333332
235,-1353.9533333333334,-1265.8333333333333,-1061.97,-1064.4166666666667
236,-1379.7566666666667,-1036.8466666666666,-1139.0966666666666,-1042.0066666666667
237,-1101.7833333333333,-1040.1733333333334,-1179.3833333333332,-1296.0133333333333
238,-1224.2533333333333,-1304.1566666666665,-1128.51,-1030.1366666666665
239,-1187.1,-1092.3999999999999,-1158.7433333333333,-1282.76
240,-1208.3799999999999,-1501.04,-1047.1233333333332,-855.67
241,-1177.0033333333333,-1212.4666666666667,-1066.8533333333332,-1154.8033333333333
242,-1394.8533333333332,-1180.5233333333333,-1095.4466666666667,-1137.4933333333333
243,-1106.69,-1380.45,-1128.8333333333333,-1114.86
244,-988.1033333333332,-1276.4966666666667,-1130.09,-1117.25
245,-1315.18,-1199.6066666666666,-1126.7066666666667,-1208.1599999999999
246,-1122.4133333333332,-1344.9066666666665,-982.5933333333332,-971.3333333333333
247,-1390.8633333333332,-1199.6233333333332,-1218.8966666666665,-1453.5366666666666
248,-1187.97,-850.8766666666667,-1188.53,-1213.8999999999999
249,-1280.6399999999999,-1059.6433333333332,-1235.46,-1243.57
250,-1204.7333333333333,-1481.3666666666666,-1090.7766666666666,-1112.2933333333333
251,-1338.6666666666665,-1619.6166666666666,-1156.8799999999999,-1069.97
252,-1269.76,-1184.7133333333334,-985.4466666666666,-1298.3166666666666
253,-1244.6933333333334,-1181.7133333333334,-1021.3566666666667,-1242.8233333333333
254,-1160.8466666666666,-1277.5266666666666,-1356.9466666666667,-1257.8333333333333
255,-1080.2166666666667,-1353.9099999999999,-997.2566666666667,-1281.25
256,-1211.7933333333333,-1281.6066666666666,-1037.8999999999999,-968.66
257,-947.2533333333333,-1353.8333333333333,-1015.7666666666667,-1071.02
258,-1009.7466666666667,-1357.2633333333333,-1296.1266666666666,-1294.0866666666666
259,-1280.1033333333332,-1385.3433333333332,-1148.2733333333333,-1217.2
260,-1295.1399999999999,-1357.3033333333333,-1348.4833333333333,-1123.93
261,-1179.97,-1320.7433333333333,-1060.0933333333332,-1280.1533333333332
262,-1684.2166666666667,-1273.9033333333332,-1009.5966666666666,-1100.5966666666666
263,-1341.31,-1127.8733333333332,-1044.96,-1073.6433333333332
264,-1256.9833333333333,-1169.1366666666665,-1132.8966666666665,-872.2733333333333
265,-1238.4166666666665,-1400.3666666666666,-926.8333333333333,-939.28
266,-1054.5933333333332,-1244.7166666666667,-1049.44,-1505.2166666666667
267,-1280.47,-1099.87,-1395.56,-1535.5133333333333
268,-1049.6399999999999,-1299.1933333333334,-1188.07,-1301.0566666666666
269,-1394.0366666666666,-1312.3866666666665,-1455.2233333333334,-1817.46
270,-1313.6966666666667,-1133.9266666666665,-1147.6233333333332,-1100.7966666666666
271,-1125.7366666666667,-1331.4433333333334,-976.9833333333332,-845.8
272,-1285.3666666666666,-988.3533333333332,-1153.8966666666665,-1399.9933333333333
273,-1024.6833333333334,-1254.8766666666666,-1270.5666666666666,-1576.6233333333332
274,-1331.4733333333334,-1562.3833333333332,-1180.3433333333332,-1367.2266666666667
275,-1270.0233333333333,-1648.7133333333334,-1132.4166666666665,-1213.68
276,-1268.76,-1123.9566666666667,-1056.75,-1279.73
277,-1030.9566666666667,-1937.2933333333333,-1190.59,-1091.4
278,-1368.7833333333333,-1278.5166666666667,-1168.08,-1116.8799999999999
279,-1222.51,-1328.2633333333333,-1033.6499999999999,-1152.9366666666667
280,-1114.19,-1136.2766666666666,-1119.09,-1132.34
281,-1315.8166666666666,-1184.9533333333334,-993.6666666666666,-1022.6466666666666
282,-1342.74,-1328.3,-1023.1566666666666,-857.9333333333333
283,-1314.5433333333333,-1302.7266666666667,-1265.35,-1297.53
284,-1177.68,-1138.3066666666666,-1106.7666666666667,-1304.2066666666667
285,-1294.6133333333332,-1449.8066666666666,-1180.0066666666667,-1122.5933333333332
286,-1223.5966666666666,-803.9566666666666,-1186.0933333333332,-1382.5233333333333
287,-1041.42,-995.51,-1293.7966666666666,-1144.72
288,-1033.6333333333332,-1223.2733333333333,-1121.2866666666666,-1704.8666666666666
289,-1014.52,-1585.3366666666666,-1142.5366666666666,-1132.5333333333333
290,-1434.59,-1204.6533333333332,-1320.72,-1107.2166666666667
291,-1190.0566666666666,-1466.8999999999999,-1148.5166666666667,-991.1933333333333
292,-1258.0166666666667,-1085.4933333333333,-896.2199999999999,-1069.27
293,-1216.4099999999999,-1227.4333333333332,-1329.4733333333334,-932.35
294,-1153.8566666666666,-1360.45,-1153.7366666666667,-1213.99
295,-1230.7266666666667,-1206.7033333333334,-1152.57,-1449.4099999999999
296,-1163.3866666666665,-1069.2033333333334,-1346.21,-970.2133333333333
297,-1336.57,-1241.78,-1125.4566666666667,-927.8966666666666
298,-1309.6399999999999,-1286.4099999999999,-1160.5833333333333,-1281.8033333333333
299,-1508.42,-1067.6433333333332,-977.4166666666666,-1320.2633333333333
300,-1212.49,-998.7466666666667,-1183.9233333333332,-1061.0266666666666
301,-1379.8566666666666,-1384.5933333333332,-992.28,-1427.1466666666665
302,-1329.7733333333333,-1150.76,-1085.2833333333333,-1082.8066666666666
303,-1072.52,-932.28,-971.7366666666667,-1424.1233333333332
304,-1264.6966666666667,-1376.83,-1283.75,-1106.2766666666666
305,-1342.54,-1357.3,-1198.4733333333334,-1032.8833333333332
306,-1277.8166666666666,-1237.0333333333333,-1419.6366666666665,-1069.17
307,-1144.1966666666667,-1278.4766666666667,-1147.8833333333332,-1024.9133333333332
308,-1159.44,-1343.9966666666667,-915.9566666666666,-1329.2166666666667
309,-860.9366666666666,-1402.58,-1253.08,-1221.7566666666667
310,-1287.82,-1051.95,-1171.73,-1174.6633333333332
311,-1055.08,-1380.1333333333332,-1128.55,-1006.4733333333334
312,-1250.7,-1125.6733333333332,-1151.3899999999999,-1085.3899999999999
313,-1162.1333333333332,-936.62,-1253.77,-1517.42
314,-994.0,-1057.1133333333332,-895.04,-1223.67
315,-1227.4166666666665,-1700.7633333333333,-906.6233333333333,-1142.2866666666666
316,-1484.7066666666667,-1199.1333333333332,-955.8733333333333,-1037.75
317,-1305.74,-1037.4133333333332,-1170.21,-1011.8833333333333
318,-1183.0433333333333,-1218.4433333333334,-1075.9633333333334,-1333.0666666666666
319,-1157.1566666666665,-1152.83,-883.3366666666666,-1323.9266666666667
320,-1049.6233333333332,-1356.24,-1249.7433333333333,-1290.5666666666666
321,-1132.3066666666666,-1043.6366666666665,-1063.5533333333333,-1534.82
322,-1273.85,-1173.4033333333332,-880.2666666666667,-1287.93
323,-1357.6033333333332,-1383.0,-1183.47,-1404.5266666666666
324,-1468.5333333333333,-1162.2833333333333,-1134.4866666666667,-1023.0833333333333
325,-1155.3366666666666,-1342.48,-1242.24,-1339.0633333333333
326,-1138.6033333333332,-1171.47,-1174.37,-1381.95
327,-1013.2833333333333,-999.65,-1043.2666666666667,-1219.1633333333334
328,-1137.8566666666666,-1031.6166666666666,-1034.6833333333334,-1062.5533333333333
329,-1293.8366666666666,-1210.7633333333333,-1244.9833333333333,-1493.6633333333332
330,-1269.1933333333334,-1365.5866666666666,-1290.9966666666667,-1203.31
331,-1276.5966666666666,-1126.3333333333333,-1027.74,-966.0433333333333
332,-1135.5966666666666,-1090.8866666666665,-1320.1733333333332,-1443.9766666666667
333,-1310.3933333333332,-1030.3466666666666,-1004.8966666666666,-1302.9333333333332
334,-1170.76,-1050.19,-874.2733333333333,-1053.4366666666667
335,-1192.7066666666667,-1380.7033333333334,-1412.35,-1170.8433333333332
336,-1187.8666666666666,-1189.8233333333333,-880.3066666666666,-1308.2366666666667
337,-1054.9333333333334,-1146.8933333333332,-1012.1266666666667,-1098.1266666666666
338,-1479.94,-1527.27,-911.6133333333333,-1184.5666666666666
339,-1070.52,-1073.4433333333334,-1024.7033333333334,-1503.5533333333333
340,-1117.02,-1328.53,-1084.3066666666666,-1157.68
341,-1305.6066666666666,-1170.9233333333334,-1126.56,-1143.9233333333334
342,-1063.5266666666666,-1098.83,-940.3166666666666,-1102.4766666666667
343,-1385.3533333333332,-1153.4066666666665,-1124.8266666666666,-1124.5566666666666
344,-1146.4966666666667,-1395.61,-1082.8033333333333,-1161.4666666666667
345,-1307.32,-1201.4966666666667,-1172.5133333333333,-1280.9133333333332
346,-1248.58,-1776.8266666666666,-940.0066666666667,-1155.42
347,-1244.6833333333334,-1327.3233333333333,-1311.6566666666665,-1065.7333333333333
348,-881.6899999999999,-1078.6299999999999,-1151.6833333333334,-1445.7533333333333
349,-1130.5233333333333,-1570.46,-960.1066666666667,-1220.8
350,-1209.79,-1101.4233333333334,-1117.12,-1242.2766666666666
351,-1285.1566666666665,-986.2866666666666,-1226.01,-1360.2733333333333
352,-1352.3966666666665,-1118.98,-954.5266666666666,-1213.6866666666667
353,-976.2633333333333,-1439.2766666666666,-1367.6633333333332,-1190.12
354,-962.4333333333333,-1098.1866666666667,-1217.0566666666666,-1153.8833333333332
355,-1099.9099999999999,-1380.22,-964.9,-1327.98
356,-1177.52,-1336.7033333333334,-1228.0466666666666,-1389.29
357,-1299.76,-1115.4933333333333,-1313.7633333333333,-1132.4933333333333
358,-1121.46,-1186.6233333333332,-1270.2166666666667,-1039.31
359,-1363.6633333333332,-974.6066666666666,-1115.2566666666667,-1383.55
360,-1438.97,-1075.11,-833.6933333333333,-1058.2433333333333
361,-1211.5433333333333,-1227.7233333333334,-1090.8533333333332,-1028.3799999999999
362,-1288.1966666666667,-1280.0233333333333,-1023.6899999999999,-1356.3566666666666
363,-1034.0033333333333,-1086.4199999999998,-1079.3233333333333,-964.9399999999999
364,-1080.75,-1056.5966666666666,-1009.1899999999999,-1053.1166666666666
365,-1128.8366666666666,-1025.6299999999999,-1348.4333333333332,-1101.1866666666667
366,-1381.24,-1023.3399999999999,-1016.77,-1382.1966666666667
367,-1187.9199999999998,-1329.7233333333334,-1027.4833333333333,-1653.3333333333333
368,-1067.9033333333332,-953.4499999999999,-1317.8799999999999,-1231.9833333333333
369,-1202.08,-1097.3233333333333,-1198.9266666666665,-1252.0766666666666
370,-1203.2933333333333,-1068.67,-1075.5733333333333,-1256.94
371,-1170.8266666666666,-962.3666666666667,-973.2866666666666,-1341.0
